Date,Sales
2022-01-31,615
2022-02-01,1693
2022-02-02,840
2022-02-03,1064
2022-02-04,1425
2022-02-05,1642
2022-02-06,1069
2022-02-07,1690
2022-02-08,469
2022-02-09,1166
2022-02-10,1215
2022-02-11,1482
2022-02-12,649
2022-02-13,361
2022-02-14,628
2022-02-15,1320
2022-02-16,1065
2022-02-17,498
2022-02-18,1460
2022-02-19,1711
2022-02-20,591
2022-02-21,1786
2022-02-22,1404
2022-02-23,466
2022-02-24,505
2022-02-25,530
2022-02-26,1551
2022-02-27,486
2022-02-28,1423
2022-03-01,872
2022-03-02,739
2022-03-03,1120
2022-03-04,369
2022-03-05,1287
2022-03-06,1675
2022-03-07,626
2022-03-08,1022
2022-03-09,1218
2022-03-10,1688
2022-03-11,492
2022-03-12,660
2022-03-13,818
2022-03-14,367
2022-03-15,909
2022-03-16,1688
2022-03-17,608
2022-03-18,1438
2022-03-19,385
2022-03-20,850
2022-03-21,1432
2022-03-22,976
2022-03-23,1740
2022-03-24,1329
2022-03-25,1407
2022-03-26,375
2022-03-27,1524
2022-03-28,1532
2022-03-29,1575
2022-03-30,1602
2022-03-31,463
2022-04-01,966
2022-04-02,336
2022-04-03,1176
2022-04-04,839
2022-04-05,787
2022-04-06,486
2022-04-07,795
2022-04-08,469
2022-04-09,484
2022-04-10,970
2022-04-11,768
2022-04-12,678
2022-04-13,488
2022-04-14,937
2022-04-15,1105
2022-04-16,978
2022-04-17,843
2022-04-18,267
2022-04-19,595
2022-04-20,313
2022-04-21,521
2022-04-22,961
2022-04-23,928
2022-04-24,366
2022-04-25,1004
2022-04-26,258
2022-04-27,562
2022-04-28,883
2022-04-29,652
2022-04-30,824
2022-05-01,664
2022-05-02,1004
2022-05-03,360
2022-05-04,996
2022-05-05,725
2022-05-06,575
2022-05-07,1152
2022-05-08,932
2022-05-09,701
2022-05-10,507
2022-05-11,984
2022-05-12,475
2022-05-13,843
2022-05-14,388
2022-05-15,748
2022-05-16,663
2022-05-17,256
2022-05-18,968
2022-05-19,932
2022-05-20,874
2022-05-21,319
2022-05-22,840
2022-05-23,621
2022-05-24,991
2022-05-25,660
2022-05-26,506
2022-05-27,240
2022-05-28,539
2022-05-29,473
2022-05-30,908
2022-05-31,1043
2022-06-01,681
2022-06-02,493
2022-06-03,544
2022-06-04,250
2022-06-05,642
2022-06-06,424
2022-06-07,1125
2022-06-08,343
2022-06-09,909
2022-06-10,1174
2022-06-11,952
2022-06-12,261
2022-06-13,292
2022-06-14,1188
2022-06-15,448
2022-06-16,607
2022-06-17,480
2022-06-18,974
2022-06-19,468
2022-06-20,1066
2022-06-21,743
2022-06-22,455
2022-06-23,712
2022-06-24,914
2022-06-25,928
2022-06-26,345
2022-06-27,1016
2022-06-28,649
2022-06-29,489
2022-06-30,700
2022-07-01,1777
2022-07-02,2166
2022-07-03,2145
2022-07-04,1479
2022-07-05,696
2022-07-06,906
2022-07-07,682
2022-07-08,1378
2022-07-09,1884
2022-07-10,949
2022-07-11,1902
2022-07-12,1215
2022-07-13,2014
2022-07-14,871
2022-07-15,1644
2022-07-16,1986
2022-07-17,627
2022-07-18,2037
2022-07-19,745
2022-07-20,1176
2022-07-21,2073
2022-07-22,1704
2022-07-23,2226
2022-07-24,1962
2022-07-25,1485
2022-07-26,2002
2022-07-27,1183
2022-07-28,862
2022-07-29,1488
2022-07-30,811
2022-07-31,637
2022-08-01,774
2022-08-02,2043
2022-08-03,1191
2022-08-04,1089
2022-08-05,1827
2022-08-06,675
2022-08-07,1024
2022-08-08,910
2022-08-09,1567
2022-08-10,1786
2022-08-11,1011
2022-08-12,1996
2022-08-13,642
2022-08-14,1971
2022-08-15,1452
2022-08-16,1224
2022-08-17,577
2022-08-18,2247
2022-08-19,915
2022-08-20,2163
2022-08-21,1089
2022-08-22,619
2022-08-23,2202
2022-08-24,903
2022-08-25,1564
2022-08-26,1330
2022-08-27,1929
2022-08-28,966
2022-08-29,1669
2022-08-30,1650
2022-08-31,1986
2022-09-01,2205
2022-09-02,2064
2022-09-03,2088
2022-09-04,990
2022-09-05,1963
2022-09-06,1504
2022-09-07,1311
2022-09-08,2226
2022-09-09,2118
2022-09-10,1480
2022-09-11,1620
2022-09-12,1326
2022-09-13,1332
2022-09-14,2223
2022-09-15,1182
2022-09-16,1905
2022-09-17,2137
2022-09-18,1189
2022-09-19,477
2022-09-20,1044
2022-09-21,1950
2022-09-22,1725
2022-09-23,1681
2022-09-24,1131
2022-09-25,1536
2022-09-26,2082
2022-09-27,2098
2022-09-28,1515
2022-09-29,663
2022-09-30,1824
2022-10-01,676
2022-10-02,542
2022-10-03,362
2022-10-04,621
2022-10-05,354
2022-10-06,240
2022-10-07,699
2022-10-08,760
2022-10-09,763
2022-10-10,684
2022-10-11,756
2022-10-12,744
2022-10-13,795
2022-10-14,230
2022-10-15,376
2022-10-16,669
2022-10-17,451
2022-10-18,556
2022-10-19,886
2022-10-20,578
2022-10-21,186
2022-10-22,873
2022-10-23,361
2022-10-24,764
2022-10-25,649
2022-10-26,205
2022-10-27,745
2022-10-28,385
2022-10-29,478
2022-10-30,397
2022-10-31,714
2022-11-01,435
2022-11-02,782
2022-11-03,192
2022-11-04,423
2022-11-05,550
2022-11-06,788
2022-11-07,381
2022-11-08,864
2022-11-09,868
2022-11-10,418
2022-11-11,655
2022-11-12,608
2022-11-13,210
2022-11-14,373
2022-11-15,652
2022-11-16,264
2022-11-17,461
2022-11-18,651
2022-11-19,757
2022-11-20,784
2022-11-21,403
2022-11-22,475
2022-11-23,630
2022-11-24,887
2022-11-25,354
2022-11-26,880
2022-11-27,243
2022-11-28,581
2022-11-29,180
2022-11-30,532
2022-12-01,565
2022-12-02,233
2022-12-03,389
2022-12-04,858
2022-12-05,817
2022-12-06,724
2022-12-07,274
2022-12-08,754
2022-12-09,366
2022-12-10,446
2022-12-11,358
2022-12-12,750
2022-12-13,201
2022-12-14,844
2022-12-15,897
2022-12-16,514
2022-12-17,714
2022-12-18,264
2022-12-19,711
2022-12-20,864
2022-12-21,615
2022-12-22,809
2022-12-23,492
2022-12-24,185
2022-12-25,769
2022-12-26,406
2022-12-27,588
2022-12-28,529
2022-12-29,270
2022-12-30,611
2022-12-31,823
